1.0,216,1,1,[[0.93474877]],216,1
1.0,216,3,1,[[0.83653957]],216,8
1.0,216,6,1,[[0.63438725]],216,15
1.0,216,12,1,[[0.3696955]],216,22
1.0,216,24,1,[[0.01161187]],216,29
1.0,432,1,1,[[0.93474877]],432,36
1.0,432,3,1,[[0.8365397]],432,43
1.0,432,6,1,[[0.6343873]],432,50
1.0,432,12,1,[[0.36969563]],432,57
1.0,432,24,1,[[0.01161201]],432,64
1.0,648,1,1,[[0.93474877]],648,71
1.0,648,3,1,[[0.83653957]],648,78
1.0,648,6,1,[[0.6343873]],648,85
1.0,648,12,1,[[0.36969548]],648,92
1.0,648,24,1,[[0.01161203]],648,99
1.0,864,1,1,[[0.93474877]],864,106
1.0,864,3,1,[[0.8365396]],864,113
1.0,864,6,1,[[0.6343873]],864,120
1.0,864,12,1,[[0.36969563]],864,127
1.0,864,24,1,[[0.01161204]],864,134
0.95,1288,1,1,[[0.96150655]],1288,141
0.95,1288,3,1,[[0.87152004]],1288,148
0.95,1288,6,1,[[0.7329905]],1288,155
0.95,1288,12,1,[[0.47057888]],1288,162
0.95,1288,24,1,[[-0.06436878]],1288,169
0.95,2576,1,1,[[0.96150655]],2576,176
0.95,2576,3,1,[[0.87152004]],2576,183
0.95,2576,6,1,[[0.7329905]],2576,190
0.95,2576,12,1,[[0.47057888]],2576,197
0.95,2576,24,1,[[-0.06436878]],2576,204
0.95,3864,1,1,[[0.96150655]],3864,211
0.95,3864,3,1,[[0.87152004]],3864,218
0.95,3864,6,1,[[0.7329905]],3864,225
0.95,3864,12,1,[[0.47057888]],3864,232
0.95,3864,24,1,[[-0.06436878]],3864,239
0.95,5152,1,1,[[0.96150655]],5152,246
0.95,5152,3,1,[[0.87152004]],5152,253
0.95,5152,6,1,[[0.7329905]],5152,260
0.95,5152,12,1,[[0.47057888]],5152,267
0.95,5152,24,1,[[-0.06436878]],5152,274
0.95,6440,1,1,[[0.96150655]],6440,281
0.95,6440,3,1,[[0.87152004]],6440,288
0.95,6440,6,1,[[0.7329905]],6440,295
0.95,6440,12,1,[[0.47057888]],6440,302
0.95,6440,24,1,[[-0.06436878]],6440,309
0.9,1810,1,1,[[0.97013146]],1810,316
0.9,1810,3,1,[[0.89105374]],1810,323
0.9,1810,6,1,[[0.75700957]],1810,330
0.9,1810,12,1,[[0.48982298]],1810,337
0.9,1810,24,1,[[-0.07068256]],1810,344
0.9,3620,1,1,[[0.97013146]],3620,351
0.9,3620,3,1,[[0.89105374]],3620,358
0.9,3620,6,1,[[0.75700957]],3620,365
0.9,3620,12,1,[[0.48982298]],3620,372
0.9,3620,24,1,[[-0.07068256]],3620,379
0.9,5430,1,1,[[0.97013146]],5430,386
0.9,5430,3,1,[[0.89105374]],5430,393
0.9,5430,6,1,[[0.75700957]],5430,400
0.9,5430,12,1,[[0.48982298]],5430,407
0.9,5430,24,1,[[-0.07068256]],5430,414
0.9,7240,1,1,[[0.97013146]],7240,421
0.9,7240,3,1,[[0.89105374]],7240,428
0.9,7240,6,1,[[0.75700957]],7240,435
0.9,7240,12,1,[[0.48982298]],7240,442
0.9,7240,24,1,[[-0.07068256]],7240,449
0.9,9050,1,1,[[0.97013146]],9050,456
0.9,9050,3,1,[[0.89105374]],9050,463
0.9,9050,6,1,[[0.75700957]],9050,470
0.9,9050,12,1,[[0.48982298]],9050,477
0.9,9050,24,1,[[-0.07068256]],9050,484
0.8,2138,1,1,[[0.9680298]],2138,491
0.8,2138,3,1,[[0.8901699]],2138,498
0.8,2138,6,1,[[0.75899005]],2138,505
0.8,2138,12,1,[[0.4922006]],2138,512
0.8,2138,24,1,[[-0.07845817]],2138,519
0.8,4276,1,1,[[0.9680298]],4276,526
0.8,4276,3,1,[[0.8901699]],4276,533
0.8,4276,6,1,[[0.75899005]],4276,540
0.8,4276,12,1,[[0.4922006]],4276,547
0.8,4276,24,1,[[-0.07845817]],4276,554
0.8,6414,1,1,[[0.9680298]],6414,561
0.8,6414,3,1,[[0.8901699]],6414,568
0.8,6414,6,1,[[0.75899005]],6414,575
0.8,6414,12,1,[[0.4922006]],6414,582
0.8,6414,24,1,[[-0.07845817]],6414,589
0.8,8552,1,1,[[0.9680298]],8552,596
0.8,8552,3,1,[[0.8901699]],8552,603
0.8,8552,6,1,[[0.75899005]],8552,610
0.8,8552,12,1,[[0.4922006]],8552,617
0.8,8552,24,1,[[-0.07845817]],8552,624
0.8,10690,1,1,[[0.9680298]],10690,631
0.8,10690,3,1,[[0.8901699]],10690,638
0.8,10690,6,1,[[0.75899005]],10690,645
0.8,10690,12,1,[[0.4922006]],10690,652
0.8,10690,24,1,[[-0.07845817]],10690,659
