Model,Mean Error,Anomaly Percentage,Anomaly Threshold
Linear_TestNumber106_Completeness1_SequenceLength864_Horizon24_WindowSize1.pt,0.7728438602293991,0.14654161781946073,3.5
Linear_TestNumber113_Completeness0.98_SequenceLength694_Horizon3_WindowSize1.pt,0.24195270387218173,0.672416313404473,1.4
Linear_TestNumber120_Completeness0.98_SequenceLength694_Horizon6_WindowSize1.pt,0.3949967341936947,0.6141248720573182,1.9
Linear_TestNumber127_Completeness0.98_SequenceLength694_Horizon12_WindowSize1.pt,0.6661959743219587,0.3804506877377817,2.6
Linear_TestNumber134_Completeness0.98_SequenceLength694_Horizon24_WindowSize1.pt,0.8599675936066289,0.2784290738569754,2.9
Linear_TestNumber141_Completeness0.98_SequenceLength1388_Horizon3_WindowSize1.pt,0.24195270387218173,0.672416313404473,1.4
Linear_TestNumber148_Completeness0.98_SequenceLength1388_Horizon6_WindowSize1.pt,0.3949967341936947,0.6141248720573182,1.9
Linear_TestNumber155_Completeness0.98_SequenceLength1388_Horizon12_WindowSize1.pt,0.6661959743219587,0.3804506877377817,2.6
Linear_TestNumber15_Completeness1_SequenceLength216_Horizon12_WindowSize1.pt,0.6498345399924771,0.30728709394205445,2.9
Linear_TestNumber162_Completeness0.98_SequenceLength1388_Horizon24_WindowSize1.pt,0.8599675936066289,0.2784290738569754,2.9
Linear_TestNumber169_Completeness0.98_SequenceLength2082_Horizon3_WindowSize1.pt,0.24195270387218173,0.672416313404473,1.4
Linear_TestNumber176_Completeness0.98_SequenceLength2082_Horizon6_WindowSize1.pt,0.3949967341936947,0.6141248720573182,1.9
Linear_TestNumber183_Completeness0.98_SequenceLength2082_Horizon12_WindowSize1.pt,0.6661959743219587,0.3804506877377817,2.6
Linear_TestNumber190_Completeness0.98_SequenceLength2082_Horizon24_WindowSize1.pt,0.8599675936066289,0.2784290738569754,2.9
Linear_TestNumber197_Completeness0.98_SequenceLength2776_Horizon3_WindowSize1.pt,0.24195270387218173,0.672416313404473,1.4
Linear_TestNumber1_Completeness1_SequenceLength216_Horizon3_WindowSize1.pt,0.25794334970419086,0.760122789065926,1.4
Linear_TestNumber204_Completeness0.98_SequenceLength2776_Horizon6_WindowSize1.pt,0.3949967341936947,0.6141248720573182,1.9
Linear_TestNumber211_Completeness0.98_SequenceLength2776_Horizon12_WindowSize1.pt,0.6661959743219587,0.3804506877377817,2.6
Linear_TestNumber218_Completeness0.98_SequenceLength2776_Horizon24_WindowSize1.pt,0.8599675936066289,0.2784290738569754,2.9
Linear_TestNumber225_Completeness0.98_SequenceLength3470_Horizon3_WindowSize1.pt,0.24195270387218173,0.672416313404473,1.4
Linear_TestNumber22_Completeness1_SequenceLength216_Horizon24_WindowSize1.pt,0.7728437532528624,0.14654161781946073,3.5
Linear_TestNumber232_Completeness0.98_SequenceLength3470_Horizon6_WindowSize1.pt,0.3949967341936947,0.6141248720573182,1.9
Linear_TestNumber239_Completeness0.98_SequenceLength3470_Horizon12_WindowSize1.pt,0.6661959743219587,0.3804506877377817,2.6
Linear_TestNumber246_Completeness0.98_SequenceLength3470_Horizon24_WindowSize1.pt,0.8599675936066289,0.2784290738569754,2.9
Linear_TestNumber253_Completeness0.96_SequenceLength1288_Horizon3_WindowSize1.pt,0.24897850040919445,0.7455050431223506,1.4
Linear_TestNumber260_Completeness0.96_SequenceLength1288_Horizon6_WindowSize1.pt,0.4045319030945631,0.511770726714432,2.0
Linear_TestNumber267_Completeness0.96_SequenceLength1288_Horizon12_WindowSize1.pt,0.6345693247406837,0.33655253146034536,2.8
Linear_TestNumber274_Completeness0.96_SequenceLength1288_Horizon24_WindowSize1.pt,0.7672377674337061,0.14654161781946073,3.5
Linear_TestNumber281_Completeness0.96_SequenceLength2576_Horizon3_WindowSize1.pt,0.24897850040919445,0.7455050431223506,1.4
Linear_TestNumber288_Completeness0.96_SequenceLength2576_Horizon6_WindowSize1.pt,0.4045319030945631,0.511770726714432,2.0
Linear_TestNumber295_Completeness0.96_SequenceLength2576_Horizon12_WindowSize1.pt,0.6345693247406837,0.33655253146034536,2.8
Linear_TestNumber29_Completeness1_SequenceLength432_Horizon3_WindowSize1.pt,0.25794334341214775,0.760122789065926,1.4
Linear_TestNumber302_Completeness0.96_SequenceLength2576_Horizon24_WindowSize1.pt,0.7672377674337061,0.14654161781946073,3.5
Linear_TestNumber309_Completeness0.96_SequenceLength3864_Horizon3_WindowSize1.pt,0.24897850040919445,0.7455050431223506,1.4
Linear_TestNumber316_Completeness0.96_SequenceLength3864_Horizon6_WindowSize1.pt,0.4045319030945631,0.511770726714432,2.0
Linear_TestNumber323_Completeness0.96_SequenceLength3864_Horizon12_WindowSize1.pt,0.6345693247406837,0.33655253146034536,2.8
Linear_TestNumber330_Completeness0.96_SequenceLength3864_Horizon24_WindowSize1.pt,0.7672377674337061,0.14654161781946073,3.5
Linear_TestNumber337_Completeness0.96_SequenceLength5152_Horizon3_WindowSize1.pt,0.24897850040919445,0.7455050431223506,1.4
Linear_TestNumber344_Completeness0.96_SequenceLength5152_Horizon6_WindowSize1.pt,0.4045319030945631,0.511770726714432,2.0
Linear_TestNumber351_Completeness0.96_SequenceLength5152_Horizon12_WindowSize1.pt,0.6345693247406837,0.33655253146034536,2.8
Linear_TestNumber358_Completeness0.96_SequenceLength5152_Horizon24_WindowSize1.pt,0.7672377674337061,0.14654161781946073,3.5
