Model,Mean Error,Anomaly Percentage,Anomaly Threshold
Linear_TestNumber407_Completeness0.94_SequenceLength1810_Horizon12_WindowSize1.pt,0.632054941097759,0.014632718759145449,3.4
Linear_TestNumber414_Completeness0.94_SequenceLength1810_Horizon24_WindowSize1.pt,0.7690923178238517,0.0,4.1
Linear_TestNumber421_Completeness0.94_SequenceLength3620_Horizon3_WindowSize1.pt,0.24484997266147834,0.3362081567022365,1.6
Linear_TestNumber428_Completeness0.94_SequenceLength3620_Horizon6_WindowSize1.pt,0.3983832487857431,0.21933031144904228,2.4
Linear_TestNumber435_Completeness0.94_SequenceLength3620_Horizon12_WindowSize1.pt,0.632054941097759,0.014632718759145449,3.4
Linear_TestNumber43_Completeness1_SequenceLength432_Horizon12_WindowSize1.pt,0.6498345326956179,0.014632718759145449,3.5
Linear_TestNumber442_Completeness0.94_SequenceLength3620_Horizon24_WindowSize1.pt,0.7690923178238517,0.0,4.1
Linear_TestNumber449_Completeness0.94_SequenceLength5430_Horizon3_WindowSize1.pt,0.24484997266147834,0.3362081567022365,1.6
Linear_TestNumber456_Completeness0.94_SequenceLength5430_Horizon6_WindowSize1.pt,0.3983832487857431,0.21933031144904228,2.4
Linear_TestNumber463_Completeness0.94_SequenceLength5430_Horizon12_WindowSize1.pt,0.632054941097759,0.014632718759145449,3.4
Linear_TestNumber470_Completeness0.94_SequenceLength5430_Horizon24_WindowSize1.pt,0.7690923178238517,0.0,4.1
Linear_TestNumber477_Completeness0.94_SequenceLength7240_Horizon3_WindowSize1.pt,0.24484997266147834,0.3362081567022365,1.6
Linear_TestNumber484_Completeness0.94_SequenceLength7240_Horizon6_WindowSize1.pt,0.3983832487857431,0.21933031144904228,2.4
Linear_TestNumber491_Completeness0.94_SequenceLength7240_Horizon12_WindowSize1.pt,0.632054941097759,0.014632718759145449,3.4
Linear_TestNumber498_Completeness0.94_SequenceLength7240_Horizon24_WindowSize1.pt,0.7690923178238517,0.0,4.1
Linear_TestNumber505_Completeness0.94_SequenceLength9050_Horizon3_WindowSize1.pt,0.24484997266147834,0.3362081567022365,1.6
Linear_TestNumber50_Completeness1_SequenceLength432_Horizon24_WindowSize1.pt,0.7728436958296743,0.0,4.2
Linear_TestNumber512_Completeness0.94_SequenceLength9050_Horizon6_WindowSize1.pt,0.3983832487857431,0.21933031144904228,2.4
Linear_TestNumber519_Completeness0.94_SequenceLength9050_Horizon12_WindowSize1.pt,0.632054941097759,0.014632718759145449,3.4
Linear_TestNumber526_Completeness0.94_SequenceLength9050_Horizon24_WindowSize1.pt,0.7690923178238517,0.0,4.1
Linear_TestNumber57_Completeness1_SequenceLength648_Horizon3_WindowSize1.pt,0.25794331918932023,0.26311942698435903,1.7
Linear_TestNumber64_Completeness1_SequenceLength648_Horizon6_WindowSize1.pt,0.4328475700197935,0.13159818686942537,2.5
Linear_TestNumber71_Completeness1_SequenceLength648_Horizon12_WindowSize1.pt,0.6498345217824906,0.014632718759145449,3.5
Linear_TestNumber78_Completeness1_SequenceLength648_Horizon24_WindowSize1.pt,0.7728437749342266,0.0,4.2
Linear_TestNumber85_Completeness1_SequenceLength864_Horizon3_WindowSize1.pt,0.25794331918932023,0.26311942698435903,1.7
Linear_TestNumber8_Completeness1_SequenceLength216_Horizon6_WindowSize1.pt,0.43284756725483176,0.13159818686942537,2.5
Linear_TestNumber92_Completeness1_SequenceLength864_Horizon6_WindowSize1.pt,0.43284756725483176,0.13159818686942537,2.5
