dt,value,veh_class,dir,location,category
2021-12-01 00:00:00,4,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 00:00:00,7,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 00:00:00,1,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 01:00:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 01:00:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 02:00:00,2,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 03:00:00,2,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 03:00:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 03:00:00,2,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 04:00:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 04:00:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 05:00:00,3,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 05:00:00,3,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 05:00:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 05:00:00,2,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 06:00:00,2,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 06:00:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 06:00:00,15,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 06:00:00,4,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 07:00:00,5,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 07:00:00,10,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 07:00:00,33,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 07:00:00,5,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 08:00:00,23,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 08:00:00,43,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 08:00:00,47,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 08:00:00,44,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 09:00:00,31,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 09:00:00,49,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 09:00:00,40,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 09:00:00,36,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 10:00:00,42,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 10:00:00,43,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 10:00:00,47,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 10:00:00,66,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 11:00:00,49,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 11:00:00,40,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 11:00:00,35,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 11:00:00,54,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 12:00:00,59,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2021-12-01 12:00:00,43,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2021-12-01 12:00:00,24,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
