dt,value,veh_class,dir,location,category
2022-05-01 00:00:00,1,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:00:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:00:00,13,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:00:00,3,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 00:00:00,5,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:00:00,3,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:00:00,25,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:00:00,8,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 00:15:00,1,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:15:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:15:00,2,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:15:00,6,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 00:15:00,3,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:15:00,3,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:15:00,23,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:15:00,4,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 00:30:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2022-05-01 00:30:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2022-05-01 00:30:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2022-05-01 00:30:00,3,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:30:00,4,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:30:00,6,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:30:00,7,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 00:30:00,6,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:30:00,8,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:30:00,39,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:30:00,2,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 00:45:00,2,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2022-05-01 00:45:00,0,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:45:00,0,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:45:00,5,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:45:00,2,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 00:45:00,2,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 00:45:00,8,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 00:45:00,40,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 00:45:00,0,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 01:00:00,3,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:00:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:00:00,12,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:00:00,4,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 01:00:00,7,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:00:00,3,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:00:00,36,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:00:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 01:15:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2022-05-01 01:15:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2022-05-01 01:15:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2022-05-01 01:15:00,4,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:15:00,0,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:15:00,12,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:15:00,11,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:15:00,14,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:15:00,51,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:30:00,6,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2022-05-01 01:30:00,0,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:30:00,0,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:30:00,15,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:30:00,1,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 01:30:00,2,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:30:00,3,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:30:00,39,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:30:00,4,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 01:45:00,2,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2022-05-01 01:45:00,2,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:45:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:45:00,10,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:45:00,1,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 01:45:00,7,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 01:45:00,2,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 01:45:00,52,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 01:45:00,0,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 02:00:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2022-05-01 02:00:00,3,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 02:00:00,3,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 02:00:00,21,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 02:00:00,6,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 02:00:00,11,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 02:00:00,75,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 02:15:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2022-05-01 02:15:00,0,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 02:15:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 02:15:00,8,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-05-01 02:15:00,4,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-05-01 02:15:00,8,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-05-01 02:15:00,2,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-05-01 02:15:00,58,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-05-01 02:15:00,2,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-05-01 02:30:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
