dt,value,veh_class,dir,location,category
2022-10-01 00:00:00,4,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:00:00,12,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:00:00,22,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:00:00,9,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 00:00:00,22,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:00:00,47,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:00:00,99,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:00:00,9,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 00:15:00,4,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:15:00,3,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:15:00,29,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:15:00,10,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 00:15:00,35,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:15:00,28,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:15:00,81,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:15:00,7,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 00:30:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2022-10-01 00:30:00,13,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:30:00,2,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:30:00,9,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:30:00,11,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 00:30:00,32,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:30:00,47,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:30:00,95,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:30:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 00:45:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2022-10-01 00:45:00,12,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:45:00,12,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:45:00,14,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:45:00,9,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 00:45:00,44,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 00:45:00,60,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 00:45:00,139,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 00:45:00,6,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 01:00:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2022-10-01 01:00:00,3,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:00:00,13,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:00:00,14,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:00:00,7,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 01:00:00,52,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:00:00,74,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:00:00,150,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:00:00,3,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 01:15:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2022-10-01 01:15:00,15,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:15:00,2,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:15:00,20,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:15:00,7,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 01:15:00,54,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:15:00,61,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:15:00,177,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:15:00,8,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 01:30:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2022-10-01 01:30:00,1,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2022-10-01 01:30:00,8,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:30:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:30:00,2,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:30:00,3,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 01:30:00,73,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:30:00,54,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:30:00,144,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:30:00,5,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 01:45:00,2,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2022-10-01 01:45:00,6,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:45:00,8,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:45:00,13,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:45:00,0,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 01:45:00,32,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 01:45:00,81,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 01:45:00,137,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 01:45:00,5,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 02:00:00,1,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2022-10-01 02:00:00,5,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:00:00,4,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:00:00,13,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:00:00,9,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 02:00:00,47,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:00:00,42,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:00:00,152,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:00:00,11,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 02:15:00,7,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:15:00,7,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:15:00,13,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:15:00,7,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 02:15:00,57,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:15:00,82,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:15:00,207,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:15:00,13,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 02:30:00,2,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2022-10-01 02:30:00,6,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:30:00,12,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:30:00,11,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:30:00,8,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 02:30:00,51,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:30:00,79,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:30:00,130,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:30:00,2,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 02:45:00,12,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:45:00,8,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:45:00,11,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:45:00,0,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 02:45:00,17,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 02:45:00,28,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 02:45:00,61,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 02:45:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 03:00:00,1,person,from_north_to_south,NclQueenVictoriaRdBedsonBuilding,flow
2022-10-01 03:00:00,1,person,from_north_to_south,NclQueenVictoriaRdPercyBuilding,flow
2022-10-01 03:00:00,1,person,from_south_to_north,NclQueenVictoriaRdPercyBuilding,flow
2022-10-01 03:00:00,10,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 03:00:00,7,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 03:00:00,10,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 03:00:00,2,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 03:00:00,11,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 03:00:00,30,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 03:00:00,47,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 03:00:00,3,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 03:15:00,1,person,from_south_to_north,NclQueenVictoriaRdBedsonBuilding,flow
2022-10-01 03:15:00,0,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 03:15:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 03:15:00,4,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 03:15:00,0,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 03:15:00,8,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 03:15:00,20,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 03:15:00,28,person,south_to_north,NclNorthumberlandStMonumentMall,flow
2022-10-01 03:15:00,1,person,south_to_north,NclNorthumberlandStThePearl,flow
2022-10-01 03:30:00,4,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 03:30:00,1,person,northwest_to_southwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 03:30:00,0,person,north_to_south,NclNorthumberlandStMonumentMall,flow
2022-10-01 03:30:00,7,person,north_to_south,NclNorthumberlandStThePearl,flow
2022-10-01 03:30:00,3,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow
2022-10-01 03:30:00,1,person,southwest_to_northwest,NclNorthumberlandStSavilleRowWest,flow
2022-10-01 03:30:00,14,person,south_to_north,NclNorthumberlandStMonumentMall,flow
