,dt,value,veh_class,dir,location,category,key,date,time,hour-minutes,year-month-day-hour,year-month-hour,month-hour,year-month,day_of_week-hour-minutes,year-week,hours_since_midnight,minutes_since_midnight,year-quarter,month,quarter,day_in_week,day_of_week
9977,2021-12-28 14:00:00,1064,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 14:00:00,14:00,2021-12-28 14,2021-12 14,12 14,2021-12,Tuesday 14:00,2021-52,14,840,2021-4,12,4,1,Tuesday
9995,2021-12-28 17:00:00,1007,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 17:00:00,17:00,2021-12-28 17,2021-12 17,12 17,2021-12,Tuesday 17:00,2021-52,17,1020,2021-4,12,4,1,Tuesday
5659,2021-12-18 19:00:00,962,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 19:00:00,19:00,2021-12-18 19,2021-12 19,12 19,2021-12,Saturday 19:00,2021-50,19,1140,2021-4,12,4,5,Saturday
10214,2021-12-30 11:00:00,958,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-30,1900-01-01 11:00:00,11:00,2021-12-30 11,2021-12 11,12 11,2021-12,Thursday 11:00,2021-52,11,660,2021-4,12,4,3,Thursday
14661,2022-12-16 13:30:00,911,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:30:00,13:30,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-50,13,810,2022-4,12,4,4,Friday
5657,2021-12-18 19:00:00,899,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-18,1900-01-01 19:00:00,19:00,2021-12-18 19,2021-12 19,12 19,2021-12,Saturday 19:00,2021-50,19,1140,2021-4,12,4,5,Saturday
14649,2022-12-16 13:15:00,887,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:15:00,13:15,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:15,2022-50,13,795,2022-4,12,4,4,Friday
10125,2021-12-29 17:00:00,863,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 17:00:00,17:00,2021-12-29 17,2021-12 17,12 17,2021-12,Wednesday 17:00,2021-52,17,1020,2021-4,12,4,2,Wednesday
9997,2021-12-28 17:00:00,860,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-28,1900-01-01 17:00:00,17:00,2021-12-28 17,2021-12 17,12 17,2021-12,Tuesday 17:00,2021-52,17,1020,2021-4,12,4,1,Tuesday
14657,2022-12-16 13:30:00,846,person,northeast_to_southeast,NclNorthumberlandStSavilleRowEast,flow,2022-12,2022-12-16,1900-01-01 13:30:00,13:30,2022-12-16 13,2022-12 13,12 13,2022-12,Friday 13:30,2022-50,13,810,2022-4,12,4,4,Friday
10127,2021-12-29 17:00:00,838,person,southeast_to_northeast,NclNorthumberlandStSavilleRowEast,flow,2021-12,2021-12-29,1900-01-01 17:00:00,17:00,2021-12-29 17,2021-12 17,12 17,2021-12,Wednesday 17:00,2021-52,17,1020,2021-4,12,4,2,Wednesday
