Model,Mean Error,Anomaly Percentage,Anomaly Threshold
LSTM_TestNumber116_Completeness1_SequenceLength864_Horizon3_WindowSize12.pt,0.7669751178592576,0.26346604215456676,4.2
LSTM_TestNumber117_Completeness1_SequenceLength864_Horizon3_WindowSize24.pt,0.5186655364988089,0.5569397625677854,2.9
LSTM_TestNumber118_Completeness1_SequenceLength864_Horizon3_WindowSize48.pt,0.7178740795871086,0.5731922398589064,4.4
LSTM_TestNumber119_Completeness1_SequenceLength864_Horizon3_WindowSize96.pt,0.49706663974611487,0.8130081300813009,2.8
LSTM_TestNumber11_Completeness1_SequenceLength216_Horizon3_WindowSize12.pt,1.3774409281587967,0.0,7.3
LSTM_TestNumber121_Completeness1_SequenceLength864_Horizon6_WindowSize3.pt,0.5715040478497705,0.17551557700745943,3.1
LSTM_TestNumber122_Completeness1_SequenceLength864_Horizon6_WindowSize6.pt,1.2325063380405974,0.02926115581565472,5.1
LSTM_TestNumber123_Completeness1_SequenceLength864_Horizon6_WindowSize12.pt,0.8208237615574878,0.951683748169839,4.3
LSTM_TestNumber124_Completeness1_SequenceLength864_Horizon6_WindowSize24.pt,0.950900626973817,0.02932551319648094,4.9
LSTM_TestNumber125_Completeness1_SequenceLength864_Horizon6_WindowSize48.pt,0.6802401911431094,0.0,3.5
LSTM_TestNumber126_Completeness1_SequenceLength864_Horizon6_WindowSize96.pt,0.4885684481884759,0.2809404110601804,2.8
LSTM_TestNumber128_Completeness1_SequenceLength864_Horizon12_WindowSize3.pt,0.6895080728114212,0.11709601873536299,3.4
LSTM_TestNumber129_Completeness1_SequenceLength864_Horizon12_WindowSize6.pt,1.104415095730479,0.541727672035139,6.6
LSTM_TestNumber12_Completeness1_SequenceLength216_Horizon3_WindowSize24.pt,0.5321975230332193,1.201817382383116,2.8
LSTM_TestNumber130_Completeness1_SequenceLength864_Horizon12_WindowSize12.pt,0.7974388449935311,0.3516483516483516,3.8
LSTM_TestNumber131_Completeness1_SequenceLength864_Horizon12_WindowSize24.pt,0.9032422741273569,1.056338028169014,4.5
LSTM_TestNumber132_Completeness1_SequenceLength864_Horizon12_WindowSize48.pt,0.6680925832254918,0.7945850500294291,3.3
LSTM_TestNumber133_Completeness1_SequenceLength864_Horizon12_WindowSize96.pt,0.42016538668366576,0.8286475288546906,2.6
LSTM_TestNumber135_Completeness1_SequenceLength864_Horizon24_WindowSize3.pt,0.8521659969669619,0.14656309541257512,4.3
LSTM_TestNumber136_Completeness1_SequenceLength864_Horizon24_WindowSize6.pt,0.8408406300440825,0.13196480938416422,3.9
LSTM_TestNumber137_Completeness1_SequenceLength864_Horizon24_WindowSize12.pt,0.9833689876045042,0.35211267605633806,4.2
LSTM_TestNumber138_Completeness1_SequenceLength864_Horizon24_WindowSize24.pt,1.2972923145224664,0.0,8.7
LSTM_TestNumber139_Completeness1_SequenceLength864_Horizon24_WindowSize48.pt,0.5880323339848998,0.029468100780904664,2.8
LSTM_TestNumber13_Completeness1_SequenceLength216_Horizon3_WindowSize48.pt,0.49788403955469906,1.5873015873015872,2.8
LSTM_TestNumber140_Completeness1_SequenceLength864_Horizon24_WindowSize96.pt,0.4217142624631179,0.6520450503852994,2.4
LSTM_TestNumber142_Completeness0.95_SequenceLength1288_Horizon1_WindowSize3.pt,0.18256455922655357,0.9793889782195586,1.1
LSTM_TestNumber143_Completeness0.95_SequenceLength1288_Horizon1_WindowSize6.pt,0.18292913828103344,0.6579909343471269,1.1
LSTM_TestNumber144_Completeness0.95_SequenceLength1288_Horizon1_WindowSize12.pt,0.17723078847404639,0.9364940005853087,1.0
LSTM_TestNumber145_Completeness0.95_SequenceLength1288_Horizon1_WindowSize24.pt,0.28494820638417856,0.6301289566236812,1.8
LSTM_TestNumber146_Completeness0.95_SequenceLength1288_Horizon1_WindowSize48.pt,0.1798818300119926,0.7494489346069066,1.1
LSTM_TestNumber147_Completeness0.95_SequenceLength1288_Horizon1_WindowSize96.pt,0.1511737483675934,0.7536574552977686,0.9
LSTM_TestNumber149_Completeness0.95_SequenceLength1288_Horizon3_WindowSize3.pt,0.23208778509830713,0.672514619883041,1.4
LSTM_TestNumber14_Completeness1_SequenceLength216_Horizon3_WindowSize96.pt,0.5132477089419492,0.9460458240946046,3.2
LSTM_TestNumber150_Completeness0.95_SequenceLength1288_Horizon3_WindowSize6.pt,0.27422935128807535,0.7898200965335673,1.5
LSTM_TestNumber151_Completeness0.95_SequenceLength1288_Horizon3_WindowSize12.pt,0.23445783888815647,1.0977751756440282,1.4
LSTM_TestNumber152_Completeness0.95_SequenceLength1288_Horizon3_WindowSize24.pt,0.3093486273092125,0.8793785724754507,1.7
LSTM_TestNumber153_Completeness0.95_SequenceLength1288_Horizon3_WindowSize48.pt,0.21936320179287874,0.7789535567313345,1.3
LSTM_TestNumber154_Completeness0.95_SequenceLength1288_Horizon3_WindowSize96.pt,0.28130637077511367,0.9903917220990393,1.6
LSTM_TestNumber156_Completeness0.95_SequenceLength1288_Horizon6_WindowSize3.pt,0.2921720854325406,0.9068304812052069,1.7
LSTM_TestNumber157_Completeness0.95_SequenceLength1288_Horizon6_WindowSize6.pt,0.35710901206309464,0.9363569861009511,2.4
LSTM_TestNumber158_Completeness0.95_SequenceLength1288_Horizon6_WindowSize12.pt,0.45324521495669545,1.5226939970717424,3.4
LSTM_TestNumber159_Completeness0.95_SequenceLength1288_Horizon6_WindowSize24.pt,0.3279883525952847,0.967741935483871,1.9
LSTM_TestNumber160_Completeness0.95_SequenceLength1288_Horizon6_WindowSize48.pt,0.36627443233812934,0.852815762387884,2.4
LSTM_TestNumber161_Completeness0.95_SequenceLength1288_Horizon6_WindowSize96.pt,0.35546620780883204,0.9167529203016415,2.4
LSTM_TestNumber163_Completeness0.95_SequenceLength1288_Horizon12_WindowSize3.pt,0.3326329461999957,0.8050351288056208,1.9
LSTM_TestNumber164_Completeness0.95_SequenceLength1288_Horizon12_WindowSize6.pt,0.3796775971895826,0.9224011713030746,2.0
LSTM_TestNumber165_Completeness0.95_SequenceLength1288_Horizon12_WindowSize12.pt,0.46067194334472994,0.4249084249084249,2.7
LSTM_TestNumber166_Completeness0.95_SequenceLength1288_Horizon12_WindowSize24.pt,0.41284234953499743,0.5134976525821596,2.4
LSTM_TestNumber167_Completeness0.95_SequenceLength1288_Horizon12_WindowSize48.pt,0.4172770401580035,0.3237198351971748,2.5
LSTM_TestNumber168_Completeness0.95_SequenceLength1288_Horizon12_WindowSize96.pt,0.3558805287529243,0.8434448061556674,2.2
LSTM_TestNumber16_Completeness1_SequenceLength216_Horizon6_WindowSize3.pt,1.273114974721964,0.4826678367705134,7.0
LSTM_TestNumber170_Completeness0.95_SequenceLength1288_Horizon24_WindowSize3.pt,0.42715680582764665,0.4690019053202404,2.5
LSTM_TestNumber171_Completeness0.95_SequenceLength1288_Horizon24_WindowSize6.pt,0.38175329055626617,0.6011730205278593,2.3
LSTM_TestNumber172_Completeness0.95_SequenceLength1288_Horizon24_WindowSize12.pt,0.4228877295014132,0.3814553990610329,2.6
LSTM_TestNumber173_Completeness0.95_SequenceLength1288_Horizon24_WindowSize24.pt,0.3788340511083409,0.7199529826623567,2.2
LSTM_TestNumber174_Completeness0.95_SequenceLength1288_Horizon24_WindowSize48.pt,0.4115483840772006,0.44202151171357,2.4
LSTM_TestNumber175_Completeness0.95_SequenceLength1288_Horizon24_WindowSize96.pt,0.3985935940816617,0.6224066390041494,2.2
LSTM_TestNumber177_Completeness0.95_SequenceLength2576_Horizon1_WindowSize3.pt,0.21214238815877856,0.7455050431223506,1.2
LSTM_TestNumber178_Completeness0.95_SequenceLength2576_Horizon1_WindowSize6.pt,0.19606257400152027,0.5702588097675099,1.1
LSTM_TestNumber179_Completeness0.95_SequenceLength2576_Horizon1_WindowSize12.pt,0.16327827825878824,1.1559847819724904,0.9
LSTM_TestNumber17_Completeness1_SequenceLength216_Horizon6_WindowSize6.pt,0.9136369882607512,0.05852231163130944,4.8
LSTM_TestNumber180_Completeness0.95_SequenceLength2576_Horizon1_WindowSize24.pt,0.19974510430549,0.8206330597889802,1.3
LSTM_TestNumber181_Completeness0.95_SequenceLength2576_Horizon1_WindowSize48.pt,0.21982290773831403,0.5878030859662012,1.1
LSTM_TestNumber182_Completeness0.95_SequenceLength2576_Horizon1_WindowSize96.pt,0.16250187320233997,0.9900990099009901,0.9
LSTM_TestNumber184_Completeness0.95_SequenceLength2576_Horizon3_WindowSize3.pt,0.2385510229754423,0.7309941520467835,1.4
LSTM_TestNumber185_Completeness0.95_SequenceLength2576_Horizon3_WindowSize6.pt,0.2473188673757813,0.9653356735410268,1.4
LSTM_TestNumber186_Completeness0.95_SequenceLength2576_Horizon3_WindowSize12.pt,0.2615128439346069,1.0977751756440282,1.6
LSTM_TestNumber187_Completeness0.95_SequenceLength2576_Horizon3_WindowSize24.pt,0.24229787006437015,0.9086911915579655,1.4
LSTM_TestNumber188_Completeness0.95_SequenceLength2576_Horizon3_WindowSize48.pt,0.28752070991470624,0.9700176366843033,1.8
LSTM_TestNumber189_Completeness0.95_SequenceLength2576_Horizon3_WindowSize96.pt,0.3876309608784467,0.25129342202512933,1.8
LSTM_TestNumber18_Completeness1_SequenceLength216_Horizon6_WindowSize12.pt,1.4515755301909443,0.0,7.3
LSTM_TestNumber191_Completeness0.95_SequenceLength2576_Horizon6_WindowSize3.pt,0.2692413815549055,0.7459412022817025,1.7
LSTM_TestNumber192_Completeness0.95_SequenceLength2576_Horizon6_WindowSize6.pt,0.3640642955154073,0.5559619604974396,2.2
LSTM_TestNumber193_Completeness0.95_SequenceLength2576_Horizon6_WindowSize12.pt,0.5063666000376214,0.9077598828696924,3.1
LSTM_TestNumber194_Completeness0.95_SequenceLength2576_Horizon6_WindowSize24.pt,0.34675144698806654,0.967741935483871,1.8
LSTM_TestNumber195_Completeness0.95_SequenceLength2576_Horizon6_WindowSize48.pt,0.3642744425237936,1.2792236435818263,2.6
LSTM_TestNumber196_Completeness0.95_SequenceLength2576_Horizon6_WindowSize96.pt,0.30527756341622375,1.2716250184829219,1.9
LSTM_TestNumber198_Completeness0.95_SequenceLength2576_Horizon12_WindowSize3.pt,0.32401115057361407,0.6733021077283372,1.9
LSTM_TestNumber199_Completeness0.95_SequenceLength2576_Horizon12_WindowSize6.pt,0.3937451370196894,0.5124450951683748,2.3
LSTM_TestNumber19_Completeness1_SequenceLength216_Horizon6_WindowSize24.pt,0.8569733463781539,0.5571847507331379,4.1
LSTM_TestNumber200_Completeness0.95_SequenceLength2576_Horizon12_WindowSize12.pt,0.5071676398048658,0.7765567765567766,3.0
LSTM_TestNumber201_Completeness0.95_SequenceLength2576_Horizon12_WindowSize24.pt,0.4358763502420778,0.2347417840375587,2.5
LSTM_TestNumber202_Completeness0.95_SequenceLength2576_Horizon12_WindowSize48.pt,0.35513620289522246,0.5297233666862861,2.1
LSTM_TestNumber203_Completeness0.95_SequenceLength2576_Horizon12_WindowSize96.pt,0.34626379647194705,0.6510802012429713,2.0
LSTM_TestNumber205_Completeness0.95_SequenceLength2576_Horizon24_WindowSize3.pt,0.43366743632055577,0.4983145244027554,2.6
LSTM_TestNumber206_Completeness0.95_SequenceLength2576_Horizon24_WindowSize6.pt,0.40683571709674915,0.43988269794721413,2.4
LSTM_TestNumber207_Completeness0.95_SequenceLength2576_Horizon24_WindowSize12.pt,0.4211141640041901,0.2640845070422535,2.5
